,x,y,xt,yt
0,335.3623962402344,311.653076171875,342.3299560546875,314.3332214355469
1,367.2952575683594,281.44903564453125,376.5531921386719,283.5628356933594
2,340.37017822265625,279.18505859375,353.9986877441406,280.5115966796875
3,253.54119873046875,275.94293212890625,267.6377716064453,273.99420166015625
4,219.48773193359375,275.0415344238281,228.54638671875,272.0183410644531
5,186.64828491210938,276.1806945800781,191.79452514648438,274.22528076171875
6,313.1741027832031,278.2389221191406,329.6042785644531,278.7434997558594
7,369.0369873046875,249.42066955566406,381.3927307128906,249.49354553222656
8,343.96502685546875,248.04090881347656,361.7502136230469,246.7322235107422
9,316.5364990234375,247.07896423339844,336.78192138671875,244.8419189453125
10,286.976806640625,245.98887634277344,306.4797058105469,243.08218383789062
11,255.22848510742188,245.3409423828125,271.6690216064453,242.24855041503906
12,222.77659606933594,245.11370849609375,235.0836944580078,242.04119873046875
13,188.18714904785156,246.72549438476562,194.76246643066406,245.13502502441406
14,395.8076477050781,217.6142120361328,404.8094787597656,216.2210693359375
15,367.9527893066406,216.52027893066406,380.8162841796875,213.8810577392578
16,343.2213134765625,215.10443115234375,361.5578308105469,210.74375915527344
17,254.03128051757812,213.8728485107422,269.93804931640625,208.8043212890625
18,187.8552703857422,218.10653686523438,193.9725799560547,217.4117431640625
19,221.54171752929688,215.4583740234375,232.97607421875,212.3061981201172
20,364.78167724609375,185.15196228027344,375.2627258300781,180.68063354492188
21,338.3370666503906,183.45851135253906,352.38507080078125,176.99208068847656
22,281.3269348144531,183.1822967529297,296.47088623046875,176.17648315429688
23,249.61257934570312,184.45880126953125,261.6184844970703,179.2882537841797
24,393.48443603515625,186.03196716308594,401.218505859375,183.14459228515625
25,332.48980712890625,154.6785125732422,339.9972229003906,148.55526733398438
26,303.01910400390625,154.25372314453125,311.0538330078125,147.7091064453125
27,242.7327423095703,158.66812133789062,248.0111541748047,156.04420471191406
28,361.85028076171875,155.43197631835938,368.4759216308594,150.69418334960938
29,391.7106018066406,156.12110900878906,397.2760925292969,152.50096130371094
30,507.37530517578125,423.8883361816406,508.5084228515625,424.7204895019531
31,471.59649658203125,421.37091064453125,472.8622131347656,422.9322204589844
32,435.8941650390625,419.2232360839844,437.23773193359375,420.91229248046875
33,115.38175201416016,408.8526611328125,115.70952606201172,408.07391357421875
34,22.856849670410156,379.91302490234375,23.51863670349121,379.546875
35,433.1481628417969,382.8617248535156,435.2668762207031,384.79052734375
36,118.09886169433594,374.22052001953125,118.78678131103516,373.5590515136719
37,149.65200805664062,372.74176025390625,150.51670837402344,371.82647705078125
38,179.87501525878906,371.98345947265625,180.775146484375,370.9474182128906
39,501.6232604980469,353.244140625,503.74481201171875,354.42791748046875
40,465.6869812011719,351.0008850097656,468.3841247558594,352.49932861328125
41,430.5402526855469,349.4810791015625,433.79071044921875,351.5575256347656
42,396.9581604003906,347.0005187988281,400.346435546875,349.5013122558594
43,89.30279541015625,343.2182922363281,90.24436950683594,342.5286865234375
44,364.90863037109375,345.70294189453125,368.2962341308594,348.4448547363281
45,121.0254135131836,341.19427490234375,122.28609466552734,340.3725280761719
46,333.5258483886719,344.4174499511719,336.7669982910156,346.89776611328125
47,152.15480041503906,340.026123046875,153.64695739746094,338.8809814453125
48,302.3291015625,342.0393981933594,305.3402404785156,343.5684509277344
49,182.36895751953125,338.97698974609375,184.31044006347656,337.57427978515625
50,211.56552124023438,337.81103515625,213.79910278320312,336.3258361816406
51,499.74383544921875,319.0057373046875,502.773681640625,320.037109375
52,464.1083679199219,316.9093322753906,467.5570373535156,318.32135009765625
53,430.2549133300781,315.7528991699219,434.48101806640625,317.7344055175781
54,91.49121856689453,311.2775573730469,92.7249755859375,310.6993103027344
55,397.0899658203125,314.0821533203125,402.2280578613281,316.6752624511719
56,123.291015625,309.039306640625,124.96162414550781,308.212158203125
57,214.92205810546875,305.96044921875,219.54176330566406,303.6333923339844
58,184.54013061523438,307.0196533203125,187.81858825683594,305.2662048339844
59,154.08082580566406,307.6767883300781,156.45005798339844,306.4196472167969
60,365.5124816894531,309.58233642578125,371.86968994140625,312.6246643066406
61,306.7911071777344,309.31158447265625,315.5091552734375,310.78961181640625
62,277.1854248046875,306.884521484375,286.12823486328125,306.388671875
